Pl0,Pl1,Winner,Pl0 %,Pl1 %,Pl0 Avg odds,Pl1 Avg odds,Pl0 Max odds,Pl1 Max odds,Fair odds for Pl0,Fair odds for Pl1,Bet on Pl0 Value,Bet on Pl1 Value
Rochus O.,Jaziri M.,0.0,0.65,0.35,1.34,3.16,1.38,3.5,1.54,2.86,-0.10389610389610399,0.18285714285714288
Ramirez-Hidalgo R.,Falla A.,1.0,0.19,0.81,4.75,1.17,5.44,1.22,5.26,1.23,0.03308823529411776,-0.008130081300813016
Paire B.,Goffin D.,0.0,0.33,0.67,2.92,1.39,3.13,1.44,3.03,1.49,0.03194888178913741,-0.0335570469798658
Haase R.,Pavic M.,1.0,0.57,0.43,1.03,11.84,1.05,18.68,1.75,2.33,-0.39999999999999997,0.8752676659528908
Mayer L.,Ledovskikh M.,0.0,0.96,0.04,1.64,2.22,1.75,2.4,1.04,25.0,0.4057142857142857,-0.904
Tursunov D.,Petzschner P.,1.0,0.6,0.4,1.84,1.91,1.93,2.03,1.67,2.5,0.13471502590673576,-0.18800000000000008
Lorenzi P.,Dodig I.,0.0,0.16,0.84,4.9,1.17,5.75,1.21,6.25,1.19,-0.08,0.016528925619834725
Kunitsyn I.,Melzer J.,1.0,0.23,0.77,3.07,1.36,3.46,1.42,4.35,1.3,-0.20459770114942524,0.08450704225352106
Ito T.,Fucsovics M.,0.0,0.94,0.06,1.37,3.07,1.45,3.52,1.06,16.67,0.26896551724137924,-0.7888422315536893
Starace P.,Cipolla F.,1.0,0.58,0.42,2.35,1.56,2.76,1.63,1.72,2.38,0.3768115942028985,-0.31512605042016806
Kubot L.,Sela D.,0.0,0.71,0.29,1.46,2.64,1.53,2.86,1.41,3.45,0.07843137254901968,-0.17101449275362327
Bogomolov A.,Roger-Vasselin E.,1.0,0.52,0.48,3.15,1.34,3.57,1.4,1.92,2.08,0.46218487394957986,-0.326923076923077
Ferrer D.,Duclos P.L.,0.0,0.98,0.02,1.03,12.81,1.07,23.0,1.02,50.0,0.04672897196261686,-0.54
Troicki V.,Malisse X.,1.0,0.58,0.42,2.1,1.69,2.33,1.85,1.72,2.38,0.26180257510729615,-0.22268907563025203
Ito T.,Melzer J.,0.0,0.23,0.77,4.07,1.22,4.42,1.26,4.35,1.3,0.015837104072398255,-0.030769230769230795
Kubot L.,Paire B.,1.0,0.52,0.48,1.43,2.75,1.5,3.12,1.92,2.08,-0.21874999999999997,0.3333333333333333
Sijsling I.,Rochus O.,0.0,0.23,0.77,1.87,1.86,2.0,1.96,4.35,1.3,-0.5402298850574713,0.336734693877551
Pavic M.,Petzschner P.,1.0,0.05,0.95,5.18,1.15,6.5,1.18,20.0,1.05,-0.675,0.11016949152542364
Roger-Vasselin E.,Cipolla F.,0.0,0.81,0.19,1.21,4.16,1.25,4.73,1.23,5.26,0.016000000000000014,-0.10076045627376413
